,level_0,index,Word,Length,Ortho_N,BG_Sum,BG_Mean,BG_Freq_By_Pos,NWI_Mean_RT,NWI_SD,NWI_Zscore,Obs,NWI_Mean_Accuracy
9034,10132,34226,stom,4,4,"6,148",2049.333,998,685.867,166.064,-0.016,30,0.882
9155,10267,34690,Mudan,5,1,"4,730",1182.5,733,854.538,231.668,-0.215,26,0.7879999999999999
9191,10310,34860,huperhuman,10,1,"14,681",1631.222,"2,215","1,105.391",419.180,-0.917,23,0.852
9237,10361,35079,tran,4,7,"8,281",2760.333,"1,833",762.240,246.235,0.121,25,0.758
9262,10390,35159,clim,4,3,"4,213",1404.333,706,770.607,232.497,-0.025,28,0.848
9340,10484,35430,gan,3,17,"4,097",2048.5,920,766.407,288.872,0.033,27,0.818
9348,10492,35453,cannin,6,2,"14,065",2813.0,"2,854",850.655,302.286,-0.255,29,0.8059999999999999
9351,10495,35459,cantrum,7,1,"11,286",1881.0,"2,200",770.348,209.340,-0.160,23,0.7190000000000001
9367,10513,35505,tartun,6,1,"8,440",1688.0,"1,845",767.593,217.215,-0.030,27,0.8440000000000001
9370,10516,35508,Marpan,6,0,"9,494",1898.8,"2,273",842.440,315.540,-0.088,25,0.7809999999999999
9402,10552,35653,telegrim,8,1,"14,487",2069.571,"1,630",893.714,270.185,-0.245,28,0.875
9462,10612,35863,Tuxan,5,1,"4,311",1077.75,524,836.724,327.776,-0.209,29,0.853
9484,10636,35935,gleorem,7,0,"12,401",2066.833,"1,286",737.333,241.790,0.187,30,0.879
9506,10658,36024,prin,4,3,"11,113",3704.333,"1,866",713.586,167.990,0.128,29,0.8290000000000001
9515,10668,36058,Thomsan,7,1,"8,150",1358.333,"1,207",952.038,318.058,-0.670,26,0.812
9646,10823,36574,motem,5,2,"7,275",1818.75,"1,447",752.346,235.530,-0.012,26,0.867
9665,10845,36640,poxin,5,1,"8,211",2052.75,"1,089",728.067,221.475,0.123,30,0.882
9766,10946,36997,chim,4,7,"3,489",1163.0,984,829.704,203.531,-0.175,27,0.818
9852,11052,37332,typhoin,7,2,"9,807",1634.5,"1,370",876.393,223.344,-0.267,28,0.848
9878,11081,37472,unburdan,8,1,"8,434",1204.857,"1,720",974.407,326.215,-0.622,27,0.818
10129,11352,38489,zan,3,11,"3,651",1825.5,709,756.621,212.124,0.007,29,0.853
10150,11373,38541,Ratican,7,1,"19,646",3274.333,"2,030",933.174,300.692,-0.506,23,0.742
10155,11380,38571,mein,4,4,"8,946",2982.0,891,786.077,335.839,0.081,26,0.765
10156,11381,38575,hellum,6,2,"6,311",1262.2,"1,510",819.440,285.630,-0.297,25,0.735
10166,11391,38597,Tenezuelan,10,1,"18,170",2018.889,"1,566",780.464,257.510,-0.022,28,0.848
10201,11426,38697,deteran,7,1,"21,105",3517.5,"4,036",782.759,261.832,-0.036,29,0.853
10213,11439,38740,victom,6,2,"6,791",1358.2,947,906.355,340.472,-0.248,31,0.8859999999999999
10375,11629,39422,Helshman,8,1,"10,435",1490.714,"1,553",798.808,281.070,-0.080,26,0.8390000000000001
10379,11634,39435,Hesleyan,8,1,"13,917",1988.143,"1,792",916.862,436.887,-0.304,29,0.853
10396,11654,39508,whereun,7,2,"14,690",2448.333,"1,621",844.034,277.143,-0.282,29,0.879
10414,11676,39588,whitan,6,1,"8,855",1771.0,"1,459",768.148,177.349,-0.271,27,0.871
10465,11730,39776,wingmun,7,1,"13,554",2259.0,"1,208",799.074,248.257,-0.253,27,0.818
10469,11734,39788,Winnipem,8,1,"12,447",1778.143,"1,308",812.370,235.844,-0.207,27,0.8440000000000001
10470,11735,39791,Winstan,7,1,"18,144",3024.0,"2,102",884.615,237.657,-0.535,26,0.7879999999999999
10496,11764,39882,waman,5,1,"6,772",1693.0,"1,059",712.464,143.912,0.099,28,0.8240000000000001
10612,11906,40391,Azerbaijin,10,1,"15,664",1740.444,991,820.500,287.381,-0.280,22,0.815
10615,11911,40402,Babylin,7,1,"11,592",1932.0,"2,062",917.560,382.532,-0.397,25,0.7809999999999999
